,Country,Transportation Mode,Order Type,Fulfillment Method,Product Category,Vendor Incoterm,Reason Code,Reason Code Duration,Item Tracer Category,Illustrative Price,Ordered Quantity,Shipped Quantity,TLP Indicator,Deliver,Process PO/DO,USAID Approval,RO Validation,Sourcing and Planning,Manufacture,Pick Up,Quality Assurance,Estimated Lead Time in Days,Estimated Lead Time in Days,Average Days Late,Estimated Lead Time in Days,Estimated Lead Time in Days,Order Cycle Time
3626,Malawi,Air,Purchase Order,Direct Drop,Essential Medicines,FCA,UD,-45.0,Other Pharma,2.84,881,881,GSC,35.0,45.0,7.0,7.0,62.0,72.0,36.0,35.0,112.0,112.0,79.0,112.0,112.0,205
3633,Malawi,Air,Purchase Order,Direct Drop,Essential Medicines,FCA,UD,-45.0,Other Pharma,40.36,123,123,GSC,16.0,21.0,7.0,7.0,62.0,72.0,36.0,35.0,105.0,105.0,155.0,105.0,105.0,253
3788,Haiti,Air,Purchase Order,Direct Drop,Essential Medicines,FCA,UD,-45.0,TB HIV,9.81,116,116,GSC,15.0,55.0,24.0,7.0,62.0,72.0,36.0,35.0,210.0,210.0,6.0,210.0,210.0,236
3810,Mozambique,Air,Purchase Order,Direct Drop,Essential Medicines,SUPPLIED INCO TERMS FCA,UD,-45.0,Other Pharma,15.88,426,426,GSC,25.0,196.0,0.0,7.0,62.0,72.0,36.0,35.0,210.0,210.0,302.0,210.0,210.0,541
5501,Angola,Air,Purchase Order,Direct Drop,Laboratory Consumables,FCA,SD,-35.0,Laboratory,675.0,2,2,GSC,15.0,23.0,0.0,6.0,35.0,351.0,28.0,-63.5,133.0,133.0,296.0,133.0,133.0,468
5539,Rwanda,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,178.0,9,9,DCP,15.0,86.0,0.0,6.0,35.0,57.0,28.0,-63.5,84.0,84.0,39.5,84.0,84.0,197
5542,Tanzania,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,204.0,1004,1004,GSC,15.0,21.0,4.0,6.0,35.0,56.0,28.0,-63.5,140.0,140.0,143.4,140.0,140.0,556
5549,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,63.0,146,146,GSC,15.0,21.0,3.0,6.0,35.0,259.0,28.0,-63.5,119.0,119.0,156.0,119.0,119.0,317
5550,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,178.0,76,76,GSC,15.0,21.0,3.0,6.0,35.0,259.0,28.0,-63.5,119.0,119.0,156.0,119.0,119.0,317
5551,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,137.0,292,292,GSC,15.0,21.0,3.0,6.0,35.0,259.0,28.0,-63.5,119.0,119.0,156.0,119.0,119.0,317
5594,Kenya,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,280.0,50,50,GSC,15.0,15.0,5.0,6.0,35.0,263.0,28.0,-63.5,91.0,91.0,0.0,91.0,91.0,335
5600,Nigeria,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,137.0,6,6,GSC,15.0,66.0,0.0,6.0,35.0,-42.0,28.0,-63.5,63.0,63.0,0.0,63.0,63.0,56
5601,Eswatini,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,55.0,37,37,GSC,15.0,20.0,3.0,6.0,35.0,9.0,28.0,-63.5,91.0,91.0,0.0,91.0,91.0,87
5609,Eswatini,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,260.0,55,55,GSC,15.0,20.0,3.0,6.0,35.0,9.0,28.0,-63.5,91.0,91.0,0.0,91.0,91.0,87
5613,Togo,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,18.0,3,3,GSC,15.0,25.0,7.0,6.0,35.0,88.0,28.0,-63.5,98.0,98.0,0.0,98.0,98.0,137
5634,Togo,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,216.0,3,3,GSC,15.0,25.0,7.0,6.0,35.0,88.0,28.0,-63.5,98.0,98.0,0.0,98.0,98.0,137
5639,Tanzania,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,79.8,392,392,GSC,15.0,16.0,1.0,6.0,35.0,69.0,28.0,-63.5,77.0,77.0,8.0,77.0,77.0,149
5655,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,104.0,23,23,GSC,15.0,37.0,3.0,6.0,35.0,267.0,28.0,-63.5,133.0,133.0,3.0,133.0,133.0,387
5659,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,137.0,164,164,GSC,15.0,37.0,3.0,6.0,35.0,267.0,28.0,-63.5,133.0,133.0,3.0,133.0,133.0,387
5661,Congo DRC,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,52.0,83,83,GSC,15.0,36.0,4.0,6.0,35.0,38.0,28.0,-63.5,70.0,70.0,4.0,70.0,70.0,320
5667,Eswatini,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,198.0,14,14,GSC,15.0,20.0,3.0,6.0,35.0,9.0,28.0,-63.5,91.0,91.0,0.0,91.0,91.0,87
5668,Eswatini,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,52.0,55,55,GSC,15.0,20.0,3.0,6.0,35.0,9.0,28.0,-63.5,91.0,91.0,0.0,91.0,91.0,87
5676,Kenya,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,75.0,8,8,GSC,15.0,15.0,5.0,6.0,35.0,263.0,28.0,-63.5,91.0,91.0,0.0,91.0,91.0,335
5680,Kenya,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,40.91,1750,1750,GSC,15.0,8.0,1.0,6.0,35.0,2.0,28.0,-63.5,77.0,77.0,0.0,77.0,77.0,97
5682,Togo,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,204.0,35,35,GSC,15.0,25.0,7.0,6.0,35.0,88.0,28.0,-63.5,98.0,98.0,0.0,98.0,98.0,137
5683,Tanzania,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,7.65,3331,3331,GSC,15.0,16.0,4.0,6.0,35.0,54.0,28.0,-63.5,84.0,84.0,-14.0,84.0,84.0,134
5698,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,178.0,43,43,GSC,15.0,37.0,3.0,6.0,35.0,267.0,28.0,-63.5,133.0,133.0,3.0,133.0,133.0,387
5720,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,55.0,21,21,GSC,15.0,37.0,4.0,6.0,35.0,49.0,28.0,-63.5,161.0,161.0,0.0,161.0,161.0,134
5724,Congo DRC,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,55.0,56,56,GSC,15.0,36.0,3.0,6.0,35.0,38.0,28.0,-63.5,70.0,70.0,4.0,70.0,70.0,78
5726,Nigeria,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,178.0,2,2,GSC,15.0,66.0,0.0,6.0,35.0,-42.0,28.0,-63.5,63.0,63.0,0.0,63.0,63.0,56
5732,Congo DRC,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,55.0,56,56,GSC,15.0,36.0,4.0,6.0,35.0,38.0,28.0,-63.5,70.0,70.0,4.0,70.0,70.0,320
5734,Congo DRC,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,260.0,83,83,GSC,15.0,36.0,4.0,6.0,35.0,38.0,28.0,-63.5,70.0,70.0,4.0,70.0,70.0,320
5741,Congo DRC,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,198.0,30,30,GSC,15.0,36.0,4.0,6.0,35.0,38.0,28.0,-63.5,70.0,70.0,4.0,70.0,70.0,320
5747,Congo DRC,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,52.0,83,83,GSC,15.0,36.0,3.0,6.0,35.0,38.0,28.0,-63.5,70.0,70.0,4.0,70.0,70.0,78
5754,Togo,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,273.0,2,2,GSC,15.0,25.0,7.0,6.0,35.0,88.0,28.0,-63.5,98.0,98.0,0.0,98.0,98.0,137
5774,Kenya,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,280.0,438,438,GSC,15.0,15.0,5.0,6.0,35.0,263.0,28.0,-63.5,91.0,91.0,0.0,91.0,91.0,335
5809,Togo,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,130.0,3,3,GSC,15.0,25.0,7.0,6.0,35.0,88.0,28.0,-63.5,98.0,98.0,0.0,98.0,98.0,137
5811,Togo,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,155.0,3,3,GSC,15.0,25.0,7.0,6.0,35.0,88.0,28.0,-63.5,98.0,98.0,0.0,98.0,98.0,137
5813,Tanzania,Land,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,55.0,131,131,GSC,15.0,42.0,34.0,6.0,35.0,239.0,28.0,-63.5,84.0,84.0,3.0,84.0,84.0,370
5816,Kenya,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,60.0,24,24,GSC,15.0,15.0,5.0,6.0,35.0,263.0,28.0,-63.5,91.0,91.0,0.0,91.0,91.0,335
5832,Tanzania,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,63.0,82,82,GSC,15.0,37.0,3.0,6.0,35.0,267.0,28.0,-63.5,133.0,133.0,3.0,133.0,133.0,387
5842,Congo DRC,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,260.0,83,83,GSC,15.0,36.0,3.0,6.0,35.0,38.0,28.0,-63.5,70.0,70.0,4.0,70.0,70.0,78
5850,Congo DRC,Air,Purchase Order,Direct Drop,Laboratory Consumables,DAP,SD,-35.0,Laboratory,198.0,30,30,GSC,15.0,36.0,3.0,6.0,35.0,38.0,28.0,-63.5,70.0,70.0,4.0,70.0,70.0,78
5858,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,3.31,10033,10033,GSC,31.0,23.0,6.0,7.0,62.0,-3.0,36.0,35.0,21.0,21.0,-1.0,21.0,21.0,55
5859,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,3.31,4392,4392,GSC,31.0,23.0,6.0,7.0,62.0,0.0,36.0,35.0,21.0,21.0,2.0,21.0,21.0,58
5860,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,3.31,11071,11071,GSC,31.0,35.0,8.0,7.0,62.0,21.0,36.0,35.0,28.0,28.0,-7.0,28.0,28.0,66
5861,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,3.31,8156,8156,GSC,31.0,23.0,6.0,7.0,62.0,7.0,36.0,35.0,21.0,21.0,0.0,21.0,21.0,65
5862,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,0.44,5646,5646,GSC,31.0,23.0,6.0,7.0,62.0,0.0,36.0,35.0,21.0,21.0,2.0,21.0,21.0,58
5863,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,0.44,11292,11292,GSC,31.0,23.0,6.0,7.0,62.0,-2.0,36.0,35.0,21.0,21.0,0.0,21.0,21.0,56
5865,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,0.36,4323,4323,GSC,31.0,23.0,6.0,7.0,62.0,-3.0,36.0,35.0,21.0,21.0,-1.0,21.0,21.0,55
5866,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,17.25,30,30,GSC,31.0,23.0,6.0,7.0,62.0,-2.0,36.0,35.0,21.0,21.0,0.0,21.0,21.0,56
5872,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,0.36,1937,1937,GSC,31.0,23.0,6.0,7.0,62.0,-3.0,36.0,35.0,21.0,21.0,-1.0,21.0,21.0,55
5873,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,17.25,50,50,GSC,31.0,23.0,6.0,7.0,62.0,-3.0,36.0,35.0,21.0,21.0,-1.0,21.0,21.0,55
5874,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,17.25,50,50,GSC,31.0,23.0,6.0,7.0,62.0,0.0,36.0,35.0,21.0,21.0,2.0,21.0,21.0,58
5876,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,2.5,720,720,GSC,31.0,23.0,6.0,7.0,62.0,0.0,36.0,35.0,21.0,21.0,2.0,21.0,21.0,58
5877,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,3.31,3764,3764,GSC,31.0,23.0,6.0,7.0,62.0,-3.0,36.0,35.0,21.0,21.0,-1.0,21.0,21.0,55
5879,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,7.99,82,82,GSC,31.0,89.0,8.0,7.0,62.0,-33.0,36.0,35.0,210.0,210.0,6.0,210.0,210.0,23
5880,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,17.25,30,30,GSC,31.0,23.0,6.0,7.0,62.0,7.0,36.0,35.0,21.0,21.0,0.0,21.0,21.0,65
5881,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,3.31,3764,3764,GSC,31.0,23.0,6.0,7.0,62.0,0.0,36.0,35.0,21.0,21.0,2.0,21.0,21.0,58
5882,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,2.5,1800,1800,GSC,31.0,23.0,6.0,7.0,62.0,-2.0,36.0,35.0,21.0,21.0,0.0,21.0,21.0,56
5884,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,0.44,9410,9410,GSC,31.0,23.0,6.0,7.0,62.0,-3.0,36.0,35.0,21.0,21.0,-1.0,21.0,21.0,55
5885,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,0.36,5515,5515,GSC,31.0,23.0,6.0,7.0,62.0,7.0,36.0,35.0,21.0,21.0,0.0,21.0,21.0,65
5886,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,3.31,13802,13802,GSC,31.0,23.0,6.0,7.0,62.0,-2.0,36.0,35.0,21.0,21.0,0.0,21.0,21.0,56
5887,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,17.25,30,30,GSC,31.0,23.0,6.0,7.0,62.0,-3.0,36.0,35.0,21.0,21.0,-1.0,21.0,21.0,55
5888,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,2.5,990,990,GSC,31.0,23.0,6.0,7.0,62.0,7.0,36.0,35.0,21.0,21.0,0.0,21.0,21.0,65
5890,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,2.5,450,450,GSC,31.0,23.0,6.0,7.0,62.0,-3.0,36.0,35.0,21.0,21.0,-1.0,21.0,21.0,55
5891,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,0.36,3925,3925,GSC,31.0,23.0,6.0,7.0,62.0,0.0,36.0,35.0,21.0,21.0,2.0,21.0,21.0,58
5893,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,3.31,5646,5646,GSC,31.0,23.0,6.0,7.0,62.0,7.0,36.0,35.0,21.0,21.0,0.0,21.0,21.0,65
5894,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,2.5,990,990,GSC,31.0,23.0,6.0,7.0,62.0,-3.0,36.0,35.0,21.0,21.0,-1.0,21.0,21.0,55
5895,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,0.36,4322,4322,GSC,31.0,23.0,6.0,7.0,62.0,7.0,36.0,35.0,21.0,21.0,0.0,21.0,21.0,65
5898,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,0.44,6274,6274,GSC,31.0,23.0,6.0,7.0,62.0,7.0,36.0,35.0,21.0,21.0,0.0,21.0,21.0,65
5901,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,0.36,9490,9490,GSC,31.0,23.0,6.0,7.0,62.0,-3.0,36.0,35.0,21.0,21.0,-1.0,21.0,21.0,55
5906,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,0.44,2509,2509,GSC,31.0,23.0,6.0,7.0,62.0,-3.0,36.0,35.0,21.0,21.0,-1.0,21.0,21.0,55
5907,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,0.44,8156,8156,GSC,31.0,23.0,6.0,7.0,62.0,7.0,36.0,35.0,21.0,21.0,0.0,21.0,21.0,65
5909,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,17.25,60,60,GSC,31.0,23.0,6.0,7.0,62.0,-3.0,36.0,35.0,21.0,21.0,-1.0,21.0,21.0,55
5912,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,2.5,2340,2340,GSC,31.0,23.0,6.0,7.0,62.0,-3.0,36.0,35.0,21.0,21.0,-1.0,21.0,21.0,55
5914,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,17.25,40,40,GSC,31.0,23.0,6.0,7.0,62.0,0.0,36.0,35.0,21.0,21.0,2.0,21.0,21.0,58
5916,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,2.5,900,900,GSC,31.0,23.0,6.0,7.0,62.0,0.0,36.0,35.0,21.0,21.0,2.0,21.0,21.0,58
5917,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,0.44,4392,4392,GSC,31.0,23.0,6.0,7.0,62.0,0.0,36.0,35.0,21.0,21.0,2.0,21.0,21.0,58
5920,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,2.5,810,810,GSC,31.0,23.0,6.0,7.0,62.0,7.0,36.0,35.0,21.0,21.0,0.0,21.0,21.0,65
5922,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,0.36,6707,6707,GSC,31.0,23.0,6.0,7.0,62.0,-2.0,36.0,35.0,21.0,21.0,0.0,21.0,21.0,56
5924,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,17.25,60,60,GSC,31.0,23.0,6.0,7.0,62.0,7.0,36.0,35.0,21.0,21.0,0.0,21.0,21.0,65
5926,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,0.44,15057,15057,GSC,31.0,23.0,6.0,7.0,62.0,-3.0,36.0,35.0,21.0,21.0,-1.0,21.0,21.0,55
5927,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,3.31,13174,13174,GSC,31.0,23.0,6.0,7.0,62.0,-3.0,36.0,35.0,21.0,21.0,-1.0,21.0,21.0,55
5928,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,0.36,3530,3530,GSC,31.0,23.0,6.0,7.0,62.0,0.0,36.0,35.0,21.0,21.0,2.0,21.0,21.0,58
5929,Nigeria,Land,Purchase Order,Direct Drop,Laboratory Equipment,DDP,AD,-34.0,Laboratory,9829.48,8,8,DCP,19.0,140.0,2.0,5.0,84.0,97.0,34.5,13.0,70.0,70.0,135.0,70.0,70.0,284
5936,Congo DRC,Air,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,3.9,3117,3117,GSC,31.0,27.0,16.0,7.0,62.0,3.0,36.0,35.0,168.0,168.0,26.0,168.0,168.0,229
5941,Malawi,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,11.54,100,100,GSC,31.0,2.0,2.0,7.0,62.0,30.0,36.0,35.0,21.0,21.0,0.0,21.0,21.0,43
5943,Malawi,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,4.65,100,100,GSC,31.0,6.0,1.0,7.0,62.0,-2.0,36.0,35.0,21.0,21.0,3.0,21.0,21.0,58
5944,Malawi,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,24.41,50,50,GSC,31.0,6.0,1.0,7.0,62.0,-2.0,36.0,35.0,21.0,21.0,3.0,21.0,21.0,58
5954,Congo DRC,Air,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,3.9,1324,1324,GSC,31.0,27.0,16.0,7.0,62.0,3.0,36.0,35.0,168.0,168.0,30.0,168.0,168.0,233
5955,Congo DRC,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,0.72,29403,29403,GSC,31.0,62.0,6.0,7.0,62.0,-34.0,36.0,35.0,203.0,203.0,14.0,203.0,203.0,248
5964,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,SD,-35.0,Laboratory,173.0,50,50,DCP,15.0,50.0,0.0,6.0,35.0,188.0,28.0,-63.5,231.0,231.0,27.0,231.0,231.0,315
5970,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,SD,-35.0,Laboratory,385.0,49,49,DCP,15.0,36.0,0.0,6.0,35.0,208.0,28.0,-63.5,175.0,175.0,46.0,175.0,175.0,343
5973,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,SD,-35.0,Laboratory,800.0,30,30,DCP,15.0,36.0,0.0,6.0,35.0,208.0,28.0,-63.5,175.0,175.0,46.0,175.0,175.0,343
5997,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,SD,-35.0,Laboratory,410.0,275,275,DCP,15.0,36.0,0.0,6.0,35.0,208.0,28.0,-63.5,175.0,175.0,46.0,175.0,175.0,343
6009,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,SD,-35.0,Laboratory,173.0,50,50,DCP,15.0,43.0,0.0,6.0,35.0,128.0,28.0,-63.5,182.0,182.0,14.5,182.0,182.0,251
6014,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,SD,-35.0,Laboratory,950.0,28,28,DCP,15.0,36.0,0.0,6.0,35.0,208.0,28.0,-63.5,175.0,175.0,46.0,175.0,175.0,343
6015,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,SD,-35.0,Laboratory,30.5,18000,18000,DCP,15.0,16.0,0.0,6.0,35.0,511.0,28.0,-63.5,308.0,308.0,80.0,308.0,308.0,734
6030,Haiti,Land,Purchase Order,Direct Drop,Essential Medicines,DDP,SD,-45.0,Other Pharma,0.72,16516,16516,GSC,31.0,62.0,1.0,7.0,62.0,66.0,36.0,35.0,112.0,112.0,14.0,112.0,112.0,178
6044,Mozambique,Land,Purchase Order,Direct Drop,Laboratory Consumables,DDP,SD,-35.0,Other Non-Pharma,18.38,35,35,DCP,15.0,134.0,0.0,6.0,35.0,104.0,28.0,-63.5,238.0,238.0,-1.0,238.0,238.0,262
